scale;area;area_diff
1;0.949133;0.00461606
1.1;0.853634;0.0908835
1.2;0.78999;0.154528
1.3;0.725251;0.219266
1.4;0.67226;0.272257
1.5;0.629878;0.314639
1.6;0.587046;0.357471
1.7;0.553593;0.390924
1.8;0.53105;0.413467
1.9;0.493352;0.451165
2;0.475412;0.469105
2.1;0.454022;0.490495
2.2;0.431752;0.512765
2.3;0.410054;0.534463
2.4;0.39342;0.551097
2.5;0.381813;0.562705
2.6;0.356995;0.587522
2.7;0.350251;0.594267
2.8;0.336028;0.608489
2.9;0.325107;0.61941
3;0.313335;0.631182
3.1;0.302381;0.642136
3.2;0.295615;0.648902
3.3;0.288202;0.656315
3.4;0.277829;0.666688
3.5;0.270893;0.673624
3.6;0.264108;0.68041
3.7;0.257235;0.687282
3.8;0.241615;0.702903
3.9;0.238873;0.705644
4;0.239009;0.705508
4.1;0.230156;0.714361
4.2;0.222131;0.722386
4.3;0.224452;0.720065
4.4;0.215128;0.72939
4.5;0.207373;0.737144
4.6;0.209969;0.734548
4.7;0.199226;0.745291
4.8;0.197912;0.746606
4.9;0.192507;0.75201
5;0.191672;0.752845
5.1;0.187324;0.757193
5.2;0.183717;0.7608
5.3;0.181222;0.763296
5.4;0.171568;0.772949
5.5;0.176778;0.76774
5.6;0.167034;0.777483
5.7;0.166803;0.777714
5.8;0.1655;0.779017
5.9;0.157168;0.787349
6;0.156682;0.787835
6.1;0.154964;0.789553
6.2;0.152501;0.792016
6.3;0.149387;0.79513
6.4;0.147092;0.797425
6.5;0.142818;0.801699
6.6;0.144117;0.8004
6.7;0.140959;0.803558
6.8;0.138502;0.806016
6.9;0.136648;0.80787
7;0.134;0.810517
7.1;0.135776;0.808741
7.2;0.135029;0.809488
7.3;0.128317;0.816201
7.4;0.131801;0.812716
7.5;0.123811;0.820706
7.6;0.122507;0.82201
7.7;0.122322;0.822195
7.8;0.123076;0.821441
7.9;0.123118;0.821399
8;0.118143;0.826374
8.1;0.115525;0.828992
8.2;0.11153;0.832987
8.3;0.113859;0.830658
8.4;0.114087;0.83043
8.5;0.112223;0.832295
8.6;0.10351;0.841008
8.7;0.108435;0.836082
8.8;0.109253;0.835264
8.9;0.108938;0.83558
9;0.102112;0.842406
9.1;0.0972301;0.847287
9.2;0.102145;0.842373
9.3;0.101989;0.842528
9.4;0.0998872;0.84463
9.5;0.10215;0.842367
9.6;0.0980925;0.846425
9.7;0.0985484;0.845969
9.8;0.0997549;0.844762
9.9;0.0923029;0.852214
10;0.0964436;0.848074
